국가,지역,농장명,품종,가공방식,고도,로스팅,구매처,구매일,컵노트,뉘양스,선호도,Cost1,Weight(g),Purchase,Recipe,홀츠 클릭,코만단테 클릭
에티오피아,시다모,,"티피카, 헤어룸 G2",워시드,,City (AGTRON 55),광주 커피볶는집,2022-11-03,"레본, 베리, 초콜릿",,4,,1000,25000,,,
에티오피아,구지 샤키소 다사야,,헤어룸 G1,내추럴,1500 ~ 2000,중배전 (City),오버나잇 커피 / 비바커피,2022-11-15,"베리류, 포도, 밀크초콜렛",,6,,150,12000,,,
페루,세로아줄,,게이샤,내추럴,1850,약배전 (High),오버나잇 커피 로스터스,2022-11-15,"블루베리, 자두, 초콜릿",,6,,100,18000,,,
에티오피아,아바야,,게이샤 G1,내추럴,1900 ~ 2050,중배전 (City),비바커피,2022-12-07,"트로피칼, 크랜베리, 블랙베리, 쥬시, 와인리, 열대과일향미",로스팅이 문제인지 보관의 문제인지 모르겠으나 시간이 지날수록 커피 필터에서 꾸리꾸리한 맛이 남,5.5,,200,12000,4:6 기본,,
에티오피아,아바야,,게이샤 G1,워시드,1900 ~ 2100,약배전 (High),비바커피,2022-12-07,"아카시아, 사과, 오랜지, 모카, 초콜렛, 꽃향기",,5,,200,11000,4:6 기본,,
과테말라,산타로사 라구나 데 아야르자,,"카투아이, 파체, 버번",워시드,1600 ~ 1700,약중배전,람다람커피로스터스,2022-12-19,"캐러멜, 졸인설탕, 시트러스, 호두",후미가 스모키함,6,sample,,,4:6 기본,,
에티오피아,리무 볼렌소,,"74110, 74112, 74165",내추럴,1900,약중배전,람다람커피로스터스,2022-12-19,"블루베리, 딸기, 복합성, 초콜렛, 화사한","샤키소, 아바야 랑 비슷한 느낌, 로스팅이 좋아서 인지 모르겠으나 후미가 상당히 길었음
⇒ 샘플 먹고 너무 맘에 들어서 구매함",8,sample,200,9800,4:6 기본,,
에티오피아,구지 겔레나,,게샤,무산소 워시드,1600 ~ 1700,약중배전,람다람커피로스터스,2022-12-19,"쟈스민, 머스캣, 백도복숭아, 화사한, 플로럴한","tealike, 아이스가 좋음",7,,500,22600,4:6 단맛강조,37,
르완다,"부산제, 냐루구루",,부르봉,워시드,2000 ~ 2115,약중배전,람다람커피로스터스,2023-01-04,"캐러멜, 천도복숭아, 꿀, 사과, 메이플시럽",산미에서 시러피하게 느껴짐,6.2,,500,22600,4:6 기본,35,
에티오피아,"리무 : 넵소 아바데가 (짐마,곰마,케디메사)",,"74110, 74165",내추럴,1950 ~ 2050,약중배전,람다람커피로스터스,2023-01-04,"복숭아, 블루베리, 시러피, 좋은구조감 ","복숭아+베리 첫맛이 강하고 리무 볼렌소만큼 후미가 길진 않지만 깔끔하고, 적당한 바디감이 있음",6.5,sample,,,4:6 기본,36,
